RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Liston,Andrew,Fife AC,M,0:33:50
2,Russell,Chris,Falkland Trail Runners,M,0:34:48
3,Jones,Alex,Fife AC,M,0:35:22
4,Crowe,Des,Penicuik Harriers,M40,0:36:16
5,Hubbard,Ali,Deeside Runners,M40,0:36:34
6,Scott,Tom,Fife AC,M40,0:37:52
7,Anderson,Iain,Dundee Hawkhill,M40,0:37:56
8,Laing,Martin,Unattached,M40,0:38:42
9,Ross,Craig,Dundee Hawkhill,M40,0:39:07
10,Watson,Gordon,Dundee Hawkhill,M40,0:39:57
11,Crowe,Jamie,Central AC,M,0:40:22
12,Leonard,Paul,Dundee Hawkhill,M,0:40:26
13,Duncan,David,Ochil Hill Runners,M40,0:40:56
14,Kerr,Stuart,Dundee Hawkhill,M40,0:41:01
15,Fowler,Nigel,Fife AC,M,0:41:18
16,Ross,Tom,Fife AC,M40,0:41:26
17,Boyd,Lisa,Carnethy,F,0:41:38
18,Ferguson,Stephen,Perth Road Runners,M40,0:42:18
19,Mitchell,Dave,Dundee Hawkhill,M40,0:42:26
20,Noble,Ally,Unattached,M40,0:42:44
21,Spates,Dusty,Fife AC,M,0:42:51
22,Poolman,Ian,Glenrothes Tri Club,M,0:43:06
23,McCulloch,Allan,Unattached,M,0:43:06
24,Milne,Ron,Forfar Road Runners,M40,0:43:24
25,Morrison,Alex,Arbroath Footers,M40,0:43:26
26,Higginbottom,Jacqui,Carnethy,F40,0:43:56
27,Stephen,Jack,Forfar Road Runners,M40,0:43:57
28,Fitzpatrick,Kate,Fife AC,F,0:44:23
29,McGill,Ron,Dundee Road Runners,M40,0:45:01
30,Love,Charlie,Dundee Hawkhill,M40,0:45:22
31,Cromar,Steve,Dundee Hawkhill,M50,0:46:15
32,Stewart,Alan,Dundee Hawkhill,M40,0:46:15
33,Gardiner,Glyn,Pitreavie,M,0:46:49
34,Wilson,Ian,Forfar Road Runners,M40,0:46:53
35,Scott,Jocelyn,Fife AC,F40,0:48:40
36,Frame,David,Tayside Orienteers,M40,0:48:48
37,Fields,Daniel,Dundee Road Runners,M,0:50:56
38,Nicoll,Liz,Forfar Road Runners,F40,0:52:16
39,Douglas,David,Forfar Road Runners,M40,0:52:17
40,Strachan,Alison,Dundee Road Runners,F40,0:53:23
41,Thornton,Bob,Fife AC,M40,0:58:44
42,Dunbar,Lorraine,Dundee Road Runners,F40,0:58:46
43,Haertling,Christiane,Dundee Road Runners,F40,0:59:40
44,Ingledew,Margaret,Fife AC,F40,1:06:55
